zipcode,population,county,state,avg_d_mbps,avg_u_mbps,avg_lat_ms,tests,devices,mlabtests,mlab_d_mbps,mlabfastestavgmbps,comb_d_mbps,lowestpricedplan,partition_0,SCS,PriceSCS
49329,8641.0,Montcalm,Michigan,58.18181818181818,7.972451790633609,51.56749311294766,1341,517,2653.0,40.5,109.49,46.43673464742568,59.95,2020-fixed,10,5.995
37331,7656.0,McMinn,Tennessee,90.72727272727273,11.058823529411764,67.00534759358288,804,285,370.0,25.19,62.22,70.07242527489547,55.0,2020-fixed,10,5.5
18419,4634.0,Wyoming,Pennsylvania,71.69508196721311,6.301639344262295,43.09836065573771,1253,435,380.0,77.44,210.79,73.03192755965587,55.95,2020-fixed,10,5.595000000000001
74883,2526.0,Hughes,Oklahoma,11.578947368421053,1.4385964912280702,261.3157894736842,210,74,377.0,6.09,15.64,8.05367793418811,25.0,2020-fixed,7,3.5714285714285716
73735,684.0,Garfield,Oklahoma,23.15625,8.40625,42.5,144,36,"","","","",55.0,2020-fixed,10,5.5
42409,2586.0,Webster,Kentucky,65.93150684931507,6.068493150684931,105.15068493150685,398,115,60.0,0.59,1.15,57.37148411796375,69.99,2020-fixed,10,6.999
27024,2733.0,Surry,North Carolina,45.68131868131868,12.912087912087912,44.76923076923077,215,100,355.0,18.95,50.23,29.032865818392136,44.95,2020-fixed,10,4.495
79731,4193.0,Crane,Texas,10.492957746478874,2.4507042253521125,67.07042253521126,1026,146,899.0,9.11,11.86,9.847098518383024,55.0,2020-fixed,8,6.875
47940,1433.0,Montgomery,Indiana,7.942857142857143,0.4857142857142857,94.28571428571429,191,63,"","","","",66.95,2020-fixed,0,""
19492,717.0,Montgomery,Pennsylvania,180.51162790697674,72.93023255813954,13.325581395348838,251,97,0.0,0.0,0.0,180.51162790697674,39.99,2020-fixed,10,3.999
85210,36464.0,Maricopa,Arizona,114.22619047619048,21.458333333333332,16.758928571428573,12615,3864,31308.0,66.31,179.39,80.07187288794351,65.0,2020-fixed,10,6.5
29810,4990.0,Allendale,South Carolina,40.4125,13.2875,97.1125,438,142,74.0,28.11,48.02,38.634404296875,39.99,2020-fixed,10,3.999
48225,14554.0,Wayne,Michigan,144.41935483870967,41.704301075268816,18.317204301075268,3820,1178,794.0,70.42,181.99,131.68517890851123,35.0,2020-fixed,10,3.5
55404,27121.0,Hennepin,Minnesota,109.31901840490798,74.84049079754601,11.840490797546012,7807,2510,23036.0,44.91,94.9,61.2132521702531,50.0,2020-fixed,10,5.0
70815,30075.0,East Baton Rouge,Louisiana,102.80833333333334,31.61111111111111,17.413888888888888,5766,1890,19063.0,133.7,380.19,126.52607636231825,35.0,2020-fixed,10,3.5
66440,2063.0,Jackson,Kansas,25.763157894736842,8.93421052631579,57.3421052631579,342,110,159.0,12.82,34.41,21.65544910179641,69.95,2020-fixed,10,6.995
73562,772.0,Cotton,Oklahoma,81.6875,18.65625,22.9375,93,38,124.0,51.36,96.37,64.3575,36.95,2020-fixed,10,3.6950000000000003
90720,21751.0,Orange,California,140.87632508833923,60.3922261484099,11.848056537102474,19722,4917,19855.0,102.51,242.88,121.6286968035027,29.99,2020-fixed,10,2.9989999999999997
41042,49968.0,Boone,Kentucky,135.08469387755102,35.323469387755104,28.940816326530612,20577,6129,55993.0,108.64,282.86,115.74660135716819,39.99,2020-fixed,10,3.999
19012,6670.0,Montgomery,Pennsylvania,173.6115107913669,71.94244604316546,13.129496402877697,2649,796,3072.0,356.2,513.36,271.65588045557257,39.99,2020-fixed,10,3.999
77318,14281.0,Montgomery,Texas,170.33333333333334,35.85011990407674,41.069544364508396,12878,3814,2543.0,92.36,252.05,157.47514082528156,29.95,2020-fixed,10,2.995
46168,30309.0,Hendricks,Indiana,139.20794392523365,39.24065420560748,27.488317757009344,13505,4006,26713.0,119.95,356.46,126.416719695417,35.0,2020-fixed,10,3.5
71106,34814.0,Caddo,Louisiana,107.76508344030809,38.24518613607189,39.13992297817715,13212,3398,15149.0,113.72,284.87,110.94589621005433,35.0,2020-fixed,10,3.5
12849,385.0,Washington,New York,141.03225806451613,12.064516129032258,31.870967741935484,121,40,"","","","",54.9,2020-fixed,10,5.49
24556,3053.0,Bedford,Virginia,52.528301886792455,5.669811320754717,119.20283018867924,1051,320,500.0,16.87,61.69,41.03304015668528,65.0,2020-fixed,10,6.5
60030,36056.0,Lake,Illinois,137.11499436302142,18.65727170236753,20.832018038331455,19769,4703,12468.0,106.23,305.2,125.16989681305861,29.0,2020-fixed,10,2.9
30076,42678.0,Fulton,Georgia,151.5719381688466,51.84898929845422,14.15576694411415,31065,8240,17973.0,130.13,345.61,143.71321728486518,35.0,2020-fixed,10,3.5
35205,19686.0,Jefferson,Alabama,144.23963133640552,26.34562211981567,19.447004608294932,7416,2637,9792.0,65.43,119.45,99.39398337928773,35.0,2020-fixed,10,3.5
22309,33220.0,Fairfax County,Virginia,152.97948717948717,99.7948717948718,9.661538461538461,9757,2347,64302.0,129.24,403.83,132.36758984607212,39.99,2020-fixed,10,3.999
63141,20593.0,St. Louis County,Missouri,132.4488403819918,23.99181446111869,14.609822646657571,20541,5226,21479.0,112.05,300.12,122.0217415584601,35.0,2020-fixed,10,3.5
17601,49779.0,Lancaster,Pennsylvania,142.46186440677965,12.586440677966102,17.005084745762712,19076,4799,70408.0,112.68,283.7,119.02883158356498,79.99,2020-fixed,10,7.999
93304,48731.0,Kern,California,137.29976580796253,39.24590163934426,21.0,13116,4621,4529.0,66.47,182.16,119.1196575991633,35.0,2020-fixed,10,3.5
21784,37941.0,Carroll,Maryland,165.31788079470198,31.290562913907284,19.076158940397352,12680,3438,55524.0,111.25,275.67,121.30191379503871,39.99,2020-fixed,10,3.999
21001,21487.0,Harford,Maryland,181.74200426439234,72.20255863539445,27.754797441364605,4305,1349,32828.0,133.69,443.58,139.26089053828693,39.99,2020-fixed,10,3.999
23455,47938.0,Virginia Beach,Virginia,123.83065693430657,82.47591240875913,13.925547445255475,13217,3777,24018.0,83.76,233.83,97.98354968982758,39.99,2020-fixed,10,3.999
11978,3255.0,Suffolk,New York,144.15144230769232,25.82451923076923,16.533653846153847,8196,2061,11636.0,163.02,234.35,155.22216322881437,109.99,2020-fixed,10,10.998999999999999
49006,26455.0,Kalamazoo,Michigan,113.15135135135135,22.910810810810812,18.383783783783784,6662,2313,11198.0,69.99,113.25,86.08971571683665,35.0,2020-fixed,10,3.5
94572,8684.0,Contra Costa,California,137.40677966101694,35.70338983050848,17.26271186440678,4879,1135,200.0,115.84,275.47,136.55752667180582,35.0,2020-fixed,10,3.5
54474,4019.0,Marathon,Wisconsin,148.88165680473372,19.17751479289941,20.727810650887573,2290,529,1644.0,56.06,173.05,110.09192528796142,69.99,2020-fixed,10,6.999
48030,16422.0,Oakland,Michigan,162.91959798994975,40.537688442211056,19.35175879396985,4968,1607,2234.0,79.43,203.52,137.02182488393092,35.0,2020-fixed,10,3.5
78736,6946.0,Travis,Texas,158.75698924731182,37.79354838709678,36.88602150537634,7728,2386,1987.0,84.36,217.86,143.54064157521626,35.0,2020-fixed,10,3.5
32003,27126.0,Clay,Florida,155.2304,51.728,19.4704,14849,3819,21979.0,105.7,268.74,125.67059057239058,35.0,2020-fixed,10,3.5
92359,8103.0,San Bernardino,California,151.08,49.71333333333333,34.17333333333333,4065,972,934.0,73.09,207.62,136.50855371074215,29.99,2020-fixed,10,2.9989999999999997
73142,10707.0,Oklahoma,Oklahoma,157.7482837528604,73.40045766590389,15.901601830663616,13984,3526,7745.0,133.78,223.92,149.20512218693912,35.0,2020-fixed,10,3.5
85122,50942.0,Pinal,Arizona,119.00505689001264,15.251580278128952,33.85840707964602,14766,4123,23794.0,52.46,131.49,77.9424769200707,65.0,2020-fixed,10,6.5
35444,3699.0,Tuscaloosa,Alabama,86.81699346405229,10.372549019607844,180.63398692810458,582,230,103.0,45.28,118.49,80.57128495777873,55.0,2020-fixed,10,5.5
42025,19305.0,Marshall,Kentucky,89.13765541740675,28.78241563055062,53.52841918294849,5461,1747,5974.0,45.24,105.26,66.20415358412401,55.0,2020-fixed,10,5.5
19362,5815.0,Chester,Pennsylvania,113.44396551724138,13.120689655172415,70.03017241379311,1143,338,1560.0,61.28,154.72,83.33823625090895,76.95,2020-fixed,10,7.695
22603,13910.0,Frederick,Virginia,82.64849354375897,12.516499282639884,76.18938307030129,4744,1276,1488.0,50.66,94.32,75.01067608658417,39.99,2020-fixed,10,3.999
74008,22461.0,Tulsa,Oklahoma,110.36978131212723,53.44831013916501,16.42544731610338,17954,4880,40136.0,157.77,306.5,143.1199134735399,35.0,2020-fixed,10,3.5
18660,3702.0,Luzerne,Pennsylvania,85.6784140969163,11.162995594713657,42.94273127753304,1387,345,1480.0,47.22,124.15,65.82544832662117,39.99,2020-fixed,10,3.999
33936,18994.0,Lee,Florida,77.35983263598327,6.99581589958159,45.25941422594142,5886,1832,10606.0,91.57,230.6,86.49838678725426,65.0,2020-fixed,10,6.5
18062,24351.0,Lehigh,Pennsylvania,113.02377179080824,15.508716323296355,17.84786053882726,14292,3180,37116.0,46.28,95.49,64.8355163872205,39.99,2020-fixed,10,3.999
77375,39351.0,Harris,Texas,177.54395126196692,86.80852915578764,18.5822454308094,41462,10858,78033.0,189.58,452.13,185.40376959055754,29.95,2020-fixed,10,2.995
47130,44722.0,Clark,Indiana,166.5721649484536,31.523711340206187,39.54123711340206,14956,4947,31510.0,88.84,223.68,113.85963282763896,35.0,2020-fixed,10,3.5
28657,9488.0,Avery,North Carolina,62.33547557840617,8.161953727506427,99.0681233933162,4410,1323,4948.0,65.68,181.95,64.10387767693643,55.0,2020-fixed,10,5.5
70354,4931.0,Lafourche,Louisiana,60.22784810126582,9.113924050632912,17.974683544303797,1284,431,324.0,18.13,42.11,51.745445871906284,59.0,2020-fixed,10,5.9
97882,7760.0,Umatilla,Oregon,16.6796875,3.8984375,85.875,696,200,716.0,22.26,44.69,19.50936437677054,65.0,2020-fixed,10,6.5
39465,21386.0,Forrest,Mississippi,101.31647211413748,28.704280155642024,148.1945525291829,5578,1558,912.0,42.24,115.0,93.01481686481648,35.0,2020-fixed,10,3.5
17103,11848.0,Dauphin,Pennsylvania,133.58870967741936,36.78225806451613,17.080645161290324,1692,498,1550.0,16.71,28.51,77.70900579092954,39.99,2020-fixed,10,3.999
60554,11796.0,Kane,Illinois,150.30652173913043,91.37391304347825,25.267391304347825,9976,2543,14121.0,181.81,532.21,168.76776656303963,35.0,2020-fixed,10,3.5
95005,6311.0,Santa Cruz,California,125.2184300341297,7.505119453924915,29.313993174061434,2592,812,2941.0,83.53,156.6,103.05944345715963,79.99,2020-fixed,10,7.999
55331,17524.0,Hennepin,Minnesota,111.92984097287184,34.02712815715622,18.122544434050514,19942,4677,26071.0,122.14,279.44,117.71492466652926,65.0,2020-fixed,10,6.5
37388,24494.0,Coffee,Tennessee,84.88533627342889,59.69459757442117,29.72877618522602,7757,2279,8183.0,60.06,167.29,72.14093685526902,35.0,2020-fixed,10,3.5
19422,18506.0,Montgomery,Pennsylvania,164.2348877374784,76.09326424870466,13.364421416234888,8074,1916,16770.0,55.67,147.5,90.95227755564324,39.99,2020-fixed,10,3.999
12308,15335.0,Schenectady,New York,155.44805194805195,88.72077922077922,23.62987012987013,2905,989,16866.0,83.27,203.38,93.87529264625414,39.99,2020-fixed,10,3.999
33412,14414.0,Palm Beach,Florida,169.15116279069767,59.22757475083056,18.61295681063123,8947,2426,1040.0,119.17,313.08,163.94635561113168,35.0,2020-fixed,10,3.5
94510,27088.0,Solano,California,153.4425,26.1,29.7,13545,3227,19420.0,92.49,281.46,117.5347933414227,35.0,2020-fixed,10,3.5
63031,48212.0,St. Louis County,Missouri,167.21473354231975,52.72884012539185,13.16771159874608,16465,5026,18369.0,155.02,515.97,160.78408933152366,35.0,2020-fixed,10,3.5
44514,22472.0,Mahoning,Ohio,100.79470198675497,12.213245033112583,17.488741721854304,8319,2464,12414.0,133.45,398.67,120.34724477055005,55.0,2020-fixed,10,5.5
80465,15147.0,Jefferson,Colorado,85.32627118644068,10.272598870056497,76.8545197740113,8947,2537,14332.0,31.15,73.14,51.971989703384374,64.0,2020-fixed,10,6.4
47129,19527.0,Clark,Indiana,158.67076167076166,36.98280098280098,39.98280098280098,5817,1902,3735.0,58.86,177.49,119.64299839183633,35.0,2020-fixed,10,3.5
96822,45007.0,Honolulu,Hawaii,140.65740740740742,45.53703703703704,11.412037037037036,25378,6616,30732.0,60.47,184.57,96.73797407209385,54.99,2020-fixed,10,5.4990000000000006
32503,32011.0,Escambia,Florida,109.13269230769231,27.24230769230769,22.421153846153846,8908,2623,22830.0,87.31,237.0,93.43504074223087,35.0,2020-fixed,10,3.5
31699,621.0,Lowndes,Georgia,156.12820512820514,175.0,12.333333333333334,200,120,371.0,131.23,553.86,139.9509124792312,69.99,2020-fixed,10,6.999
62062,7658.0,Madison,Illinois,132.08115942028985,13.144927536231885,18.27536231884058,5457,1491,1398.0,100.04,222.26,125.54672603304473,35.0,2020-fixed,10,3.5
36272,13389.0,Etowah,Alabama,61.85843373493976,7.292168674698795,151.710843373494,1501,410,1028.0,61.33,153.41,61.64363346624934,55.0,2020-fixed,10,5.5
21017,7062.0,Harford,Maryland,185.0,68.46296296296296,15.37037037037037,1413,457,1608.0,92.11,235.29,135.55706057596822,39.99,2020-fixed,10,3.999
91740,25356.0,Los Angeles,California,158.3882783882784,37.51282051282051,16.186813186813186,18474,4740,24176.0,81.66,212.16,114.89512813470233,29.99,2020-fixed,10,2.9989999999999997
28605,3412.0,Watauga,North Carolina,106.956,12.438,56.13,3878,1670,852.0,64.02,179.66,99.22207357293868,55.0,2020-fixed,10,5.5
91360,42402.0,Ventura,California,145.38120567375887,53.501773049645394,14.338652482269504,22875,5855,42543.0,117.24,229.29,127.08025925260989,24.99,2020-fixed,10,2.4989999999999997
